Kingdom,Phylum,Class,Order,Family,Genus,Species
1,1,1,1,1,1,1
1,1,1,2,2,2,2
1,1,1,1,1,1,3
1,2,2,3,3,3,4
1,2,3,4,4,4,5
1,1,1,1,1,1,3
1,2,3,4,4,5,6
1,1,4,5,5,6,7
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,2,3,6,7,8
1,1,1,1,1,1,9
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,2,3,7,8,10
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,3,4,4,4,5
1,1,1,2,2,2,2
1,2,3,4,4,9,11
1,2,3,4,4,5,6
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,1,1,1,1
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,2,3,4,4,5,6
1,2,2,3,8,10,12
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,2,3,6,7,8
1,2,3,4,4,5,6
1,2,2,3,8,10,12
1,2,3,4,4,11,13
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,3,4,4,11,13
1,2,3,4,4,5,6
1,1,1,2,2,2,2
1,2,3,4,4,5,6
1,1,1,1,1,1,9
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,2,3,6,7,8
1,2,3,4,4,5,6
1,1,1,1,1,1,1
1,1,1,1,1,1,9
1,1,1,2,2,2,2
1,1,1,2,2,12,14
1,2,2,3,7,8,10
1,2,3,4,4,5,6
1,2,2,3,3,3,4
1,1,1,1,1,1,9
1,2,3,4,4,13,15
1,1,1,1,1,1,1
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,7,8,11,16,18
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,8,9,12,17,19
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,7,8,13,18,20
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,2,3,4,4,19,21
1,1,1,2,2,2,2
1,2,5,10,14,20,22
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,2,3,3,21,23
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,2,3,4,4,11,13
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,24
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
