Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.7415304,1.1298346,65.7157922,0.0118518,6.553013699999999,38.8273121,5.981407
0.3,0.5145326,1.1342862,61.5626701,0.010821,5.4353902,39.2920161,4.9923570999999995
0.5,0.7467815,1.1346591,60.2986608,0.0109653,5.5767969,38.8901561,5.0601973000000005
0.7,1.1376469,1.2279694,63.0657798,0.0108848,6.1381665000000005,42.828711399999996,5.1278717
0.9,1.1096779,1.1483187,62.0650411,0.0112048,6.430004,39.595233099999994,5.7271666
1.1,1.0172835,1.1455289,63.8575043,0.0117693,6.123256,39.4947606,5.7139615
1.3,0.9207942,1.1320486,63.6596501,0.0111359,5.3432708,39.279900399999995,4.6088227
1.5,0.8904776,1.1529363,61.0200306,0.0108439,5.835351299999999,39.5022485,5.361077099999999
1.7,0.9680055,1.1395055,61.4344127,0.0106141,6.7987655,40.0871512,6.2012054
1.9,1.1907904,1.1234759,58.63954,0.0101994,7.3514073,39.257842200000006,6.5912054
