Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.8134234,0.0706783,16.4524536,0.002467,0.6026575,1.8910698,0.5440459
0.3,0.6186955,0.0707945,17.0207741,0.0024969,0.583481,1.7559979000000001,0.5467996
0.5,0.6698476,0.0703057,16.2648288,0.0025357,0.5120587,1.8269153,0.30838560000000004
0.7,1.0735139,0.0685094,17.2449751,0.0048987,0.4859684,1.6509217,0.4582066
0.9,0.9999138,0.070895,17.1303659,0.002725,0.7049486,2.1982648,0.3198433
1.1,0.7838066,0.0757783,17.1384325,0.0026548,0.5854528999999999,1.9144039000000002,0.48920450000000004
1.3,1.0444422,0.0871643,16.1380247,0.0028033,0.5138413,1.6930794,0.4603298
1.5,0.8114375,0.0883394,17.0677328,0.0025587,0.5243682,1.7596001,0.4718604
1.7,0.626522,0.0726811,16.3522233,0.0028383,0.517954,1.7611577,0.4460162
1.9,1.0951726,0.0685221,16.3925723,0.0026074,0.4996108,1.6891819000000001,0.4590503
