Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0193394,0.0861917,0.6162796,0.0008234,0.1506331,0.41498409999999997,0.10822309999999999
0.3,0.0201054,0.0869506,0.4302235,0.0008721,0.15294069999999998,0.4165699,0.11422170000000001
0.5,0.019063,0.0871749,0.4294148,0.0008635,0.1587365,0.4188993,0.11817810000000001
0.7,0.0157131,0.0865208,0.4285652,0.0008476,0.16372409999999998,0.4184976,0.11923689999999999
0.9,0.0162658,0.0870031,0.4285306,0.000854,0.1656418,0.4205944,0.1224285
1.1,0.0178086,0.085797,0.4282002,0.0007554,0.1633712,0.4199038,0.11962719999999999
1.3,0.0154996,0.0905603,0.4453887,0.0007979,0.17259750000000001,0.42827289999999996,0.1215507
1.5,0.0145446,0.0913401,0.4626852,0.0008001,0.1721587,0.44456199999999996,0.12827709999999998
1.7,0.0139119,0.0902564,0.4471402,0.0008344,0.1713517,0.434844,0.1264043
1.9,0.0186177,0.0893361,0.4454977,0.0009143,0.171125,0.4255953,0.1274405
