Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0143003,0.0049659,0.1261503,0.0002239,0.0103105,0.020321099999999998,0.0087265
0.3,0.0102408,0.0038236,0.1228013,0.0002117,0.011384100000000001,0.017883700000000002,0.0063354
0.5,0.0121863,0.0036232,0.1167546,0.0002258,0.0116198,0.0179093,0.006319
0.7,0.0165567,0.0033857,0.1304762,0.0002029,0.0113365,0.0169104,0.0054915
0.9,0.0131714,0.0039444,0.1242042,0.0002142,0.0080056,0.0177584,0.0076542
1.1,0.0128322,0.0032535,0.1203089,0.0002101,0.0088163,0.0199551,0.0051411
1.3,0.0133595,0.0030778,0.1299554,0.0002105,0.0074147,0.0192204,0.005731699999999999
1.5,0.0103222,0.0035372,0.1231381,0.0002094,0.007875,0.0185448,0.0065141
1.7,0.0131044,0.0036715,0.1478565,0.0002098,0.0075618000000000005,0.0178996,0.0060771
1.9,0.0121681,0.0048717,0.1199682,0.0002084,0.008934,0.0188771,0.007247699999999999
